Count of jobtitle,,
Row Labels,Total,probablity
[butcher and] jobber,1,1.56311E-05
[railway] engineer,1,1.56311E-05
a.t.s. clerk,1,1.56311E-05
"able bodied seaman, royal navy",1,1.56311E-05
able seaman,2,3.12622E-05
able seaman - royal navy,1,1.56311E-05
able seaman in rn,1,1.56311E-05
able seaman merchant navy,1,1.56311E-05
able seaman rn,2,3.12622E-05
able seaman royal navy,3,4.68933E-05
"able seaman, rn",1,1.56311E-05
"able seaman, royal navy",4,6.25244E-05
accountant,129,0.002016413
accountant - civil service,1,1.56311E-05
accountant (certified),1,1.56311E-05
accountant (dock board),1,1.56311E-05
accountant and company secretary,1,1.56311E-05
accountant and reciever of companies,1,1.56311E-05
"accountant, distillery",1,1.56311E-05
"accountant, dock company",3,4.68933E-05
"accountant, factory",1,1.56311E-05
accountants clerk,2,3.12622E-05
accountants secretary,1,1.56311E-05
accounting machine operator,1,1.56311E-05
accountor,2,3.12622E-05
accounts clerk,17,0.000265729
accounts clerk for provision merchants chain,1,1.56311E-05
accounts dept worker,1,1.56311E-05
acetylene welder,1,1.56311E-05
"acid man, chemical company",1,1.56311E-05
actor,13,0.000203204
actor (comedian),1,1.56311E-05
actor manager,1,1.56311E-05
actress,8,0.000125049
actress [gaiety girl],1,1.56311E-05
actuary,2,3.12622E-05
adjutant,1,1.56311E-05
administration officer - education dept,1,1.56311E-05
administrator clerk (printers),1,1.56311E-05
admiral,1,1.56311E-05
admiralty accountant,1,1.56311E-05
admiralty charge hand,1,1.56311E-05
admiralty clerk,3,4.68933E-05
admiralty packer,1,1.56311E-05
advertising agent,5,7.81555E-05
advertising executive,1,1.56311E-05
advertising manager,4,6.25244E-05
advisory biologist,1,1.56311E-05
advocate,6,9.37866E-05
advocate clerk and writer,1,1.56311E-05
aerated water company owner,1,1.56311E-05
aerial mechanic,1,1.56311E-05
ag engineer,1,1.56311E-05
ag lab,1533,0.023962485
ag machine man,1,1.56311E-05
ag mechanic,2,3.12622E-05
ag waggoner,1,1.56311E-05
ag work,2,3.12622E-05
ag worker,20,0.000312622
agency nurse,1,1.56311E-05
agent,28,0.000437671
agent farmer,1,1.56311E-05
"agent for coal, coke, and corn merchants",1,1.56311E-05
agent for kenmare estates,1,1.56311E-05
agent for screws,1,1.56311E-05
agent general for victoria,1,1.56311E-05
agent to bookseller,1,1.56311E-05
"agent, passenger department, railway",1,1.56311E-05
agricultural,1,1.56311E-05
agricultural bailiff,1,1.56311E-05
agricultural contractor,2,3.12622E-05
agricultural engine driver,3,4.68933E-05
agricultural engineer,2,3.12622E-05
agricultural engineer and fitter,1,1.56311E-05
agricultural implement maker,1,1.56311E-05
agricultural labourer,13,0.000203204
agricultural servant,1,1.56311E-05
agricultural work woman,1,1.56311E-05
agricultural worker,5,7.81555E-05
agriculturist,1,1.56311E-05
aicraft fitter,1,1.56311E-05
air fitter in fleet air arm,1,1.56311E-05
air force officer,1,1.56311E-05
air photo intelligence,1,1.56311E-05
aircraft designer,1,1.56311E-05
aircraft engine fitter,1,1.56311E-05
aircraft fitter,6,9.37866E-05
aircraft fitter raf,1,1.56311E-05
"aircraft fitter, war factory work",1,1.56311E-05
aircraft fitters mate,1,1.56311E-05
aircraftsman,2,3.12622E-05
"aite engineer, public works",1,1.56311E-05
ale and porterman,1,1.56311E-05
ale-conner,1,1.56311E-05
alkali labourer,3,4.68933E-05
"alkali labourer, saltworks",1,1.56311E-05
allotment sailor,1,1.56311E-05
almond packer,1,1.56311E-05
alpaca and cotton weaver,1,1.56311E-05
aluminium worker,1,1.56311E-05
ambulance driver,3,4.68933E-05
ammunition worker,2,3.12622E-05
amusements caterer,1,1.56311E-05
analyst in dairy industry,1,1.56311E-05
analytical chemist,9,0.00014068
analytical chemist and lecturer in chemistry,1,1.56311E-05
anchor smith,3,4.68933E-05
anchor striker,1,1.56311E-05
anchorsmith,1,1.56311E-05
anglican minister,1,1.56311E-05
annealer,2,3.12622E-05
annealer at nail works,1,1.56311E-05
antique dealer,7,0.000109418
antique dealer & cabinet maker,1,1.56311E-05
antique furniture dealer,1,1.56311E-05
antique sales assistant,1,1.56311E-05
antiques shop keeper,1,1.56311E-05
apothecary,3,4.68933E-05
apothecary / chemist,2,3.12622E-05
apothecary and surgeon,1,1.56311E-05
appraiser,1,1.56311E-05
apprentice baker,3,4.68933E-05
apprentice baker and confectioner apprentice,1,1.56311E-05
apprentice basket and besom maker,1,1.56311E-05
apprentice blacksmith,1,1.56311E-05
apprentice builder,1,1.56311E-05
apprentice cabinet maker,1,1.56311E-05
apprentice chemist,2,3.12622E-05
apprentice draughtsman engineering,1,1.56311E-05
apprentice dressmaker,1,1.56311E-05
apprentice engine fitter,2,3.12622E-05
apprentice fitter and turner,1,1.56311E-05
apprentice grocer,1,1.56311E-05
apprentice hair dresser,1,1.56311E-05
apprentice hairdresser,1,1.56311E-05
apprentice in steelworks,1,1.56311E-05
apprentice lace maker,1,1.56311E-05
apprentice marine engineer,1,1.56311E-05
