A15	A15 Tuberculosis
A17	A17 Tuberculous meningitis
B03	B03 smallpox
B05	B05 measles
A38	A38 scarlet fever
A36	A36 diphtheria
J36	J36 quinsy
J05	J05 croup
A37	A37 whooping cough
A75	A75 typhus
A01	A01 typhoid
B50	B50 simple continued fever
A46	A46 erysipelas
O85	O85 puerperal fever
L02	L02 carbuncle
J11	J11 influenza
A09	A09 dysentery
A09	A09 diarrhoea
A00	A00 cholera
R50	R50 ague
G00	G00 Bacterial meningitis, not elsewhere classified
M79	M79 rheumatism
B99	B99 other zymotic diseases
I64	I64 Apoplexy
K50	K50 Bowel disease
A53	A53 syphilis
N35	N35 stricture of urethra
X57	X57 privation
D69	D69 purpura and scurvy
F10	F10 alcohol
B37	B37 thrush
B83	B83 worms
M10	M10 gout
R60	R60 dropsy
C80	C80 cancer
H60	H60 Diseases of the ear
R02	R02 mortification
A18	A18 scrofula
A18	A18 tabes mesenterica
A16	A16 phthisis
G91	G91 hydrocephalus
A18	A18 other tubercular disease
G04	G04 cephalitis
I64	I64 apoplexy
G83	G83 paralysis
F99	F99 insanity
G25	G25 chorea
G40	G40 epilepsy
A35	A35 tetanus
R56	R56 convulsions
G93	G93 brain disease
I31	I31 pericarditis
I72	I72 aneurism
I51	I51 heart disease
D64	D64 anaemia
A41	A41 septicaemia
J04	J04 laryngitis
J40	J40 bronchitis
R09	R09 pleurisy
J18	J18 pneumonia
J45	J45 asthma
J98	J98 lung disease
K29	K29 gastritis
A09	A09 enteritis
K65	K65 peritonitis
R18	R18 ascites
K63	K63 ulceration of intestines
K46	K46 hernia
K56	K56 ileus
R99	R99 fistula
K31	K31 stomach disease
K75	K75 hepatitis
R17	R17 jaundice
K76	K76 liver disease
D73	D73 spleen disease
K63	K63 intestinal disease
N05	N05 nephritis
R34	R34 ischuria
I12	I12 brights disease
E14	E14 diabetes
N20	N20 calculus
N30	N30 cystitis
N28	N28 kidney disease
N70	N70 ovarian dropsy
N99	N99 reproductive disease
M13	M13 arthritis
M25	M25 joint disease
L98	L98 phlegmon
L98	L98 ulcer
L98	L98 skin disease
N92	N92 paramenia
P07	P07 premature birth
Q05	Q05 spina bifida
Q89	Q89 other malformation
R99	R99 teething
Z37	Z37 stillborn
O75	O75 childbirth
R54	R54 old age
P96	P96 atrophy and debility
R53	R53 debility
T14	T14 accident fractures and contusions
W34	W34 accident gunshot wounds
X99	X99 accident cut/stab
T20	T20 accident burn/scald
X49	X49 accident poisoning
W74	W74 accident drowned
W84	W84 accident suffocation
W84	W84 suffocation
X59	X59 accident other
Y09	Y09 murder
X74	X74 suicied.gunshot wounds
X78	X78 suicide cut/stab
X68	X68 suicide poison
X71	X71 suicide drowned
X70	X70 suicide hanging
X84	X84 suicide other
Y35	Y35 execution hanging
Y34	Y34 violent death other
R99	R99 blank
R99	R99 unknown
R99	R99 sudden death
R99	R99 ill defined
R99	R99 other causes
R54	R54 Age Related Illness
