G06	G06 abscess
K70	K70 alcohol
A22	A22 anthrax
T67	T67 apoplexy
K35	K35 appendicitis
J45	J45 asthma
J60	"J60 asthma, miners"
P10	P10 birth related
N33	N33 bladder
D30	D30 blood disorder
M90	M90 bone & joint disease
K59	K59 bowels
Q04	Q04 brain disease
J20	J20 bronchitis
J10	J10 broncho pneumonia
C00	C00 cancer
Q00	Q00 congenital malformation
C10	C10 consumption
C102	C102 consumption pulmonary
D11	D11 convulsions
E13	E13 croup
F15	F15 debility
G50	G50 diabetes
H10	H10 diarrhoea/cholera
H101	H101 diphtheria
J99	J99 dropsy
A10	A10 drowning
S20	S20 epilepsy
D80	D80 erysipelas
M20	M20 fever
M202	M202 fever enteric
M203	M203 fever remittent
M210	M210 fever rheumatic
H77	H77 heart
A51	A51 hernia
O70	O70 hydrocephalus
M35	M35 influenza
A50	A50 injury
W22	W22 kidney and liver disease
E75	E75 lungs
M15	M15 malnutrition
L90	L90 marasmus
F66	F66 measles
B12	B12 meningitis
B15	B15 mental health
D30	D30 mortification or ulcer
D10	D10 natural causes
Z00	Z00 not clear
Z00	Z00 not given
Z99	Z99 not known
D12	D12 old age
O14	O14 other
P15	P15 paralysis
I80	I80 peritonitis
R66	R66 phthisis
R661	R661 phthisis pulmonary
R50	R50 pleurisy
P60	P60 pneumonia
K60	K60 poisoning
K09	K09 pregnancy complications
K091	K091 premature birth
O15	O15 prostate
O16	O16 reproductive system
F17	F17 rheumatic condition
W12	W12 scarlet fever
E15	E15 scrofula
R57	R57 skin
F67	F67 smallpox
B41	B41 softening of brain
S90	S90 spina bifida
S99	S99 spine
L85	L85 spleen
C15	C15 stomach
H80	H80 stroke
H99	H99 sudden death
V01	V01 suffocation
V10	V10 suicide
S30	S30 syphilis
A40	A40 tabes mesenterica
S01	S01 teething
N10	N10 tetanus
A14	A14 thoat
A15	A15 throat
A151	A151 tonsilitis
B20	B20 tuberculosis
B201	B201 tuberculosis phthisis
B205	B205 tuberculosis pulmonary
C001	C001 tumour
T00	T00 typhoid
T05	T05 typhus
Z98	Z98 unknown
C75	C75 want of breastmilk
C70	C70 weakness
B55	B55 whooping cough
